Input size,IS CPU time (s),IS Mem (KB),MS CPU time (s),MS Mem (KB),BMS CPU time (s),BMS Mem (KB),QS CPU time (s),QS Mem (KB),RQS CPU time (s),RQS Mem (KB)
1000000.case1,149.071,12316,0.190892,14176,0.181524,14172,0.120333,12316,0.13908500000000001,12316
1000000.case2,0.001752,12316,0.077648,14176,0.071471,14172,273.099,12316,0.046387,12316
1000000.case3,298.205,12316,0.08690600000000001,14176,0.08120999999999999,14172,188.78,28848,0.065661,12316
16000.case1,0.067478,6228,0.0071600000000000006,6228,0.006068,6228,0.0045309999999999994,6228,0.004886,6228
16000.case2,0.000213,6228,0.003388,6228,0.003121,6228,0.121938,6228,0.0026320000000000002,6228
16000.case3,0.11945,6228,0.004037,6228,0.003242,6228,0.100619,6600,0.0026810000000000002,6228
32000.case1,0.22209299999999998,6360,0.010435,6360,0.009418,6360,0.006802,6360,0.008683999999999999,6360
32000.case2,0.000245,6360,0.005955,6360,0.004107,6360,0.451272,6360,0.003657,6360
32000.case3,0.437036,6360,0.004777999999999999,6360,0.005072,6360,0.350793,7160,0.003849,6360
4000.case1,0.009706,6076,0.00177,6076,0.001666,6076,0.0011359999999999999,6076,0.0013959999999999999,6076
4000.case2,0.00014399999999999998,6076,0.000919,6076,0.000847,6076,0.017214,6076,0.000753,6076
4000.case3,0.017814,6076,0.0009469999999999999,6076,0.0010689999999999999,6076,0.014664,6080,0.0008060000000000001,6076
